"R0000100","R0047010","R0263710","R0446810","R0702510","R0945610","R1256010","R1650810","R1923410","R2318210","R2526010","R2925010","R3127800","R3523500","R3728500","R4416800","R5079800","R5165200","R6478000","R7005700","R7702900","R8495200","T0986800"
7117,300,272,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7118,-4,300,333,1850,1428,-4,-4,500,575,500,-5,-5,-5,-5,-5,-5,600,-5,-5,-5,887,-5
7119,350,310,335,335,350,755,944,930,1610,1794,1752,2037,1331,1398,1730,904,-4,4807,9401,-4,-4,1282
7120,147,-4,425,620,474,562,655,663,667,697,711,673,800,769,952,1068,1398,1538,2019,1461,1925,1925
7121,-4,-4,-4,-4,325,625,625,897,750,865,1000,1400,1600,1800,2307,2150,2403,1875,3365,3205,3205,3500
7122,-4,340,335,335,280,335,375,255,-4,390,405,432,500,432,600,600,889,675,825,320,800,232
7123,290,-4,335,345,335,355,350,362,-5,343,475,535,460,550,628,631,700,780,860,1120,1201,1215
7124,-4,310,390,506,590,584,737,640,673,833,706,641,730,586,795,-4,-4,-4,-4,710,-4,-4
7125,-4,342,413,439,413,666,-4,-4,-4,-4,-4,562,721,750,817,778,747,824,957,1121,1065,900
7126,-4,-4,-4,350,312,-4,-4,666,500,625,400,437,500,487,485,500,541,736,1082,969,1098,1282
7127,-4,308,-4,-4,-4,-4,-4,49,400,320,300,240,425,357,423,-4,557,542,448,721,94,1132
7128,-4,-4,-4,-4,-4,-4,388,335,-4,417,425,525,550,600,612,625,802,939,1060,1406,1177,1351
7129,-4,-4,345,-4,-4,-4,433,428,1015,1072,1258,1394,1394,1475,1538,1875,1730,1850,1960,-5,-5,-5
7130,-4,325,-4,320,-4,-4,-4,-4,-4,-4,-4,-4,-4,500,2142,500,500,500,600,850,1627,1295
7131,-4,320,-4,-4,450,-4,450,625,600,725,750,1021,1410,857,623,750,923,800,1105,1490,1300,1586
7132,-4,-4,-4,-4,-4,-4,-4,335,-4,335,167,-4,-4,-4,100,100,300,-4,-4,-4,-4,-4
7133,-4,-4,-4,300,365,500,306,387,578,812,225,380,550,-5,663,-5,500,-5,-5,850,825,1000
7134,-4,-4,-4,-4,-4,400,293,443,685,475,350,575,610,460,450,550,450,515,675,-5,-5,-4
7135,100,290,-4,322,315,-4,475,335,350,-4,-4,-4,-4,-4,-4,-4,-4,-4,780,-4,-4,-4
7136,-4,-4,365,557,694,692,585,874,937,-4,450,314,495,600,555,633,888,953,-4,500,600,850
7137,-4,-4,330,331,335,345,345,258,428,314,450,337,302,525,406,575,650,700,775,875,900,900
7138,-4,-4,-4,-4,-4,-4,410,375,-5,425,458,475,400,400,543,450,763,700,979,1105,1041,1000
7139,200,-4,-4,45,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,416,-4,-4
7140,-4,35,-4,400,-4,-4,-4,300,335,654,-4,425,450,450,450,-4,500,475,800,-4,-4,-4
7141,-4,-4,-4,-4,400,-4,-4,-4,-4,255,345,-4,-4,-4,-4,-4,-4,-5,-4,700,700,775
7142,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7142,3125,685,450,525,15,10,11,2,976
7143,290,-4,325,335,218,512,666,855,697,1250,2093,1528,1634,1212,1971,2057,2308,2427,2230,2995,3461,3605
7144,125,-4,-4,-4,-4,-4,-4,-4,201,350,-4,-4,-4,550,600,600,857,600,-5,1000,480,1100
7145,203,-4,-4,-4,366,425,500,477,600,700,700,952,1000,1200,1000,1350,1500,1452,1623,-5,1442,1700
7146,-4,300,335,398,335,340,390,404,550,736,1488,576,1077,1009,1162,-4,725,900,1153,1272,1400,1394
7147,-4,-4,350,250,280,305,355,416,690,697,1081,-4,-4,1363,1279,1497,1688,-4,-4,1682,1923,1700
7148,-4,-4,232,320,-4,640,675,875,614,926,1500,1250,870,1130,1070,1106,1250,1250,1750,1883,2093,2178
7149,350,581,-4,177,242,700,461,-4,330,-4,487,540,576,1000,625,192,349,384,862,576,192,256
7150,-4,575,367,937,975,730,879,947,1105,1201,1252,1750,1490,1730,2100,1984,2403,2350,2435,2335,-4,32
7151,300,400,625,880,900,1125,1137,1262,-5,543,622,700,1105,1009,604,1000,1230,1153,1282,1190,1153,-4
7152,406,1620,-4,-4,-4,-4,-4,-4,-4,1511,1200,1435,1596,1666,1230,1834,2259,1217,2067,2500,2307,2467
7153,-4,825,335,335,328,367,441,600,435,340,799,842,896,996,638,935,1082,1170,1399,1498,1499,1499
7154,-4,-4,335,223,500,833,-4,-4,-4,750,-4,-4,2884,549,750,-4,833,1201,1502,929,1236,-4
7155,369,445,468,697,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1975,1409
7156,-4,-4,-4,350,345,296,-4,-4,-4,-4,-4,500,510,570,800,835,1100,913,828,1200,869,1000
7157,-4,-4,-4,-4,-4,-4,-4,345,375,375,420,607,500,-4,575,-5,-5,-5,-5,-5,-5,-5
7158,-4,-4,-4,-4,281,285,335,312,335,400,350,260,-4,425,425,-4,-4,560,600,600,600,750
7159,425,-5,-5,-5,625,635,677,717,817,1201,865,1298,1442,692,961,-4,-4,-4,-5,-5,-5,-5
7160,-4,-5,-5,-5,360,-4,503,535,416,600,709,725,675,850,840,925,825,965,1000,1030,1145,1190
7161,-4,71,-4,375,-4,-5,-5,-5,-5,-5,897,1269,437,1300,450,454,812,575,833,1800,1285,-5
7162,290,310,335,600,644,650,754,806,836,906,1009,1052,1100,1160,1190,1300,1230,1350,1162,1650,1730,1950
7163,-4,400,496,600,673,660,-4,-4,-4,-4,-4,-4,-4,-4,560,525,725,750,800,651,800,875
7164,-4,-4,-4,625,350,540,631,768,802,500,800,400,425,-4,-4,475,600,750,850,-4,-4,-4
7165,-4,232,310,400,425,-4,-4,420,800,-4,600,-4,1395,-4,-4,-4,-4,-4,-4,-4,-4,-4
7166,-4,-4,-4,335,-4,-4,-4,358,450,916,916,2115,1610,1118,1442,1398,1335,1923,2136,2384,31,33
7167,177,-4,-4,270,350,282,337,340,267,335,350,272,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7168,302,434,400,450,335,833,-4,441,450,661,485,968,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7169,-4,-4,-4,-4,-4,-4,-4,300,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7170,-4,-4,-4,335,-4,-4,-4,-4,450,-4,416,-4,-4,12,100,-4,541,650,750,750,-4,-4
7171,-4,-4,278,335,-4,500,-4,-4,-4,-4,450,-4,-4,-4,-4,-4,-4,-4,550,-4,490,-4
7172,-4,-4,-4,335,400,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,600,550,384,-4,-4
7173,-4,-4,-4,350,533,-4,-4,450,500,400,250,-4,-4,700,-4,-4,1200,1000,5000,5000,5000,5384
7174,-4,-4,-4,335,443,413,335,586,544,600,600,550,450,800,740,841,900,-5,1064,-5,-5,-5
7175,-4,335,360,410,450,490,522,397,560,585,600,645,670,-4,735,750,820,900,950,1000,961,1050
7176,-4,-4,310,335,-4,-4,-4,-4,-4,-4,-4,-4,-4,500,-4,-4,-4,-4,-4,-4,-4,-4
7177,300,330,421,412,535,52,565,615,690,720,762,812,913,1057,650,1000,1030,1082,1075,1216,1400,1492
7178,-4,-4,-4,-4,-4,-4,180,350,335,350,500,-4,800,435,400,-4,-4,-4,-4,-4,700,700
7179,-4,-4,-4,-4,400,492,545,668,556,750,690,840,900,896,820,850,1093,890,735,675,-4,880
7180,-4,-4,465,520,700,602,-5,800,472,-5,-5,952,-4,-4,-4,-4,-4,1249,656,625,1400,1730
7181,290,-4,-4,-4,335,-4,-4,335,-4,-4,-4,1000,1000,1154,1235,1337,1423,1422,1495,1575,1675,1778
7182,-4,500,-4,-4,450,-4,425,450,550,550,932,800,800,800,1000,725,1200,2777,4166,1500,1428,1928
7183,-4,325,325,350,370,375,390,390,400,445,445,-4,-4,-4,-4,630,630,808,887,1100,1100,1200
7184,-4,310,335,335,350,350,360,375,-4,-4,-4,-4,-4,525,-4,-4,700,700,700,800,1130,1159
7185,-4,-4,310,500,500,697,1000,930,1000,858,1634,1461,1850,1748,2003,2790,2884,3004,4086,4615,4384,6009
7186,-4,-4,-4,335,-4,335,403,345,335,-4,-4,-4,-4,-4,-4,-4,-4,525,1875,-4,-4,-4
7187,-4,-4,635,800,-4,500,335,662,930,525,400,750,450,500,500,728,750,600,1125,1000,726,1050
7188,-4,-4,-4,-4,-4,-4,400,-4,-4,-4,-5,475,575,575,625,750,694,511,1150,900,700,857
7189,478,534,610,610,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,590,750,775,987
7190,-4,-4,-4,335,340,625,585,-4,1291,714,400,600,600,850,750,937,-4,850,1596,2183,1453,3123
7191,-4,-4,-4,-4,330,450,630,835,-4,-4,-4,380,-4,425,425,-4,525,-4,600,500,600,-5
7192,-4,-4,-4,-4,450,-4,-4,-4,411,335,360,415,580,660,575,642,725,800,843,1000,1050,1250
7193,-4,-4,-4,991,2500,862,1137,1150,1325,750,1926,2200,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7194,-4,-4,-4,320,385,375,400,475,-4,-4,-4,836,936,1035,1142,1254,1578,1771,1750,1875,2548,14423
7195,-4,-4,-4,335,335,400,-4,345,520,575,530,550,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7196,344,395,690,839,755,900,768,947,900,957,991,1075,620,636,600,1080,1103,970,950,1000,1282,1500
7197,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,500,350,-4,-4,-4,-4,-4,-4,-5,1220,708,885
7198,-4,-4,-4,-4,-4,335,500,625,750,525,750,755,893,776,755,927,1000,1200,1201,1400,1634,1495
7199,528,371,650,750,921,1169,1029,975,1023,1075,813,677,722,1340,814,1375,1475,4449,-5,1973,1485,2034
7200,750,872,-4,370,700,580,510,454,-5,-5,650,-5,-5,-4,-5,-5,-4,-4,1475,-5,-5,1682
7201,-4,-4,-4,335,335,335,330,-4,-4,1153,493,801,-4,872,1744,6009,6250,6000,3846,5000,6009,5000
7202,410,-4,465,581,774,-5,620,-5,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7203,-4,310,-4,662,625,721,889,889,-5,1298,1394,1586,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7204,650,-4,500,750,895,850,1129,961,1357,1648,930,1442,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7205,315,320,425,300,525,720,-5,-5,-5,1250,-5,1305,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7206,290,365,350,365,480,607,664,841,600,766,-5,900,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7207,-4,450,233,357,-4,375,450,425,500,575,500,800,849,360,1091,1201,1120,2403,-5,-5,2991,3488
7208,540,-4,-4,-4,-4,365,390,420,465,503,558,633,673,830,817,893,1011,1023,-5,1240,1288,1333
7209,-4,-4,-4,-4,-4,-4,-4,-4,335,-4,525,525,-4,-4,435,475,-4,572,700,734,802,845
7210,-4,327,-4,534,447,617,648,737,883,796,980,1055,1133,1167,1490,7451,2083,1602,2047,2246,2246,2472
7211,-4,-4,562,708,470,350,-4,1114,1134,500,650,1689,1324,1400,1414,1414,875,1679,1800,1201,2009,2100
7212,-4,354,-4,335,340,-4,800,400,1187,1269,1366,1586,1803,1873,2400,2108,60,2472,2706,2100,1857,2385
7213,-4,-5,-4,425,375,500,555,675,775,-5,1042,1145,1125,-5,1394,1346,-5,880,-5,-5,-5,-5
7214,-4,400,459,406,450,616,500,-5,865,1000,1057,1300,1483,1442,1619,1785,1682,1826,1875,3488,-4,2884
7215,290,290,-4,325,335,222,550,625,670,961,1006,1125,1140,1227,1000,1370,1656,1923,1683,3965,2379,2459
7216,-4,-4,-4,335,838,-4,-4,666,350,500,500,672,618,679,797,-4,961,1051,1735,1500,1960,3720
7217,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,250,-4,-4,-4,-4,-4,-4,-4,-4,-4
7218,340,673,320,700,860,920,970,1000,-4,366,650,817,830,1153,1009,960,1064,1055,1274,1120,2029,2346
7219,-4,-4,-4,430,500,440,600,650,520,-4,-4,-4,-4,-4,-4,-4,-4,725,1147,1642,865,567
7220,-4,-4,-4,450,483,-4,-4,-4,1906,465,340,500,-4,630,435,510,-5,725,600,700,700,1000
7221,290,211,-4,-4,1050,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,416,600,600,700,720,720
7222,-4,-4,490,575,475,475,400,400,300,500,520,750,650,625,865,750,525,730,825,871,1000,1057
7223,-4,312,-4,365,400,465,481,410,250,525,600,541,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7224,-4,264,-4,-4,-4,300,300,166,350,375,500,531,555,-4,-4,350,875,1131,1200,1200,1500,1429
7225,-4,531,1125,649,687,687,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
7226,-4,-4,-4,260,35,175,125,-4,-4,-4,-4,-4,-4,-4,-4,-4,600,600,2857,320,1550,96
7227,-4,325,550,562,450,490,600,600,-4,-4,350,564,-4,-4,-4,-5,-4,-5,-5,-5,-5,-5
7228,-4,-4,308,230,-4,-4,142,-4,538,370,350,300,-4,425,425,550,-4,795,800,937,1103,1170
7229,-4,480,649,605,-4,493,987,-5,1201,1437,3875,1337,1615,1511,1682,1754,-4,-4,-4,-4,-4,-4
7230,-4,-4,416,413,-4,-4,-4,-4,-4,550,650,1050,550,550,675,700,700,850,-5,-5,-5,-5
7231,-4,-4,445,472,-4,-4,-4,-5,-4,600,725,750,784,843,769,810,813,826,1055,1381,1450,2017
7232,-4,-4,-5,-4,335,-4,-4,-4,-4,-4,-4,375,435,61,507,500,500,950,1025,956,436,1140
7233,350,438,-5,-5,-5,750,881,1008,1105,1265,1197,1250,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7234,-4,-4,-4,600,-5,-5,750,537,450,690,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7235,-4,-4,-4,-4,-4,-4,-4,-4,-4,500,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4
7236,265,-4,160,291,-4,664,842,921,1012,1177,201,-5,-5,558,784,884,1154,600,950,874,1017,910
7237,-4,-4,187,350,275,-5,673,673,865,833,900,960,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7238,335,375,375,360,600,500,44,600,35000,1200,1300,1000,1175,1250,1300,1300,-5,-5,-5,-5,-5,-5
7239,-4,-4,-4,400,576,625,-5,425,375,500,550,-5,547,-5,-5,-5,-5,-5,-5,-5,-5,-5
7240,290,307,266,323,375,468,885,747,865,1201,750,1028,1182,1700,153,1702,2307,2884,2788,2991,2991,3752
7241,-4,-4,-4,-4,404,694,721,865,855,1062,1062,986,1105,1163,1382,1404,1410,1535,1836,-5,1679,2870
7242,385,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7243,-4,-4,310,375,425,2250,450,307,-4,1600,1500,1500,1200,1538,1826,1826,1340,1923,-5,-5,-5,-5
7244,-4,-4,335,333,345,-4,-4,-4,-4,-4,-4,-4,400,400,375,-4,1000,824,850,-5,800,625
7245,-4,420,335,347,425,425,-4,-5,-5,-5,750,-4,-4,-4,-4,923,1009,1394,1730,1947,2067,2500
7246,233,400,480,-5,605,662,721,786,816,917,1920,1022,1075,1346,1250,1350,1442,-5,-5,-5,-5,2200
7247,-4,-4,-5,-5,-5,-5,-5,-5,-5,420,-4,-5,425,650,680,680,680,5769,1000,-4,-4,-4
7248,290,-4,-4,580,360,1050,667,800,1500,1530,1826,1725,1923,1923,2115,2403,2480,2830,2965,3900,4400,3970
7249,-4,-4,-4,-4,-4,-5,574,650,634,-4,-4,-4,-4,485,550,680,730,780,970,-4,-4,-4
7250,-4,-4,-4,625,1875,-4,-4,-4,912,645,485,192,1000,1666,875,-5,-5,-5,-5,-5,-5,-5
7251,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-5,-5,1860,2093
7252,-4,-5,-5,-5,-4,-4,-4,-4,-4,-4,500,500,510,-4,-4,600,-4,520,520,-4,-4,1000
7253,-4,-4,-4,135,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,650,-4,-4,-4
7254,-4,-4,-4,1000,-4,-4,-4,-4,-4,-4,-4,37,8,13,8,-4,550,-5,-5,1000,-5,-5
7255,-4,291,333,375,335,365,400,501,437,1076,1100,1201,1252,-5,-4,1500,1500,-5,-5,-5,2163,2307
7256,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,770,800,660,856,1035,697
7257,289,-4,380,380,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
7258,-4,-4,-4,-4,335,1300,-4,-4,-4,-4,-4,-4,-4,-4,-4,80,111,600,866,840,700,697
7259,-4,-4,-4,-4,335,344,330,225,187,201,-4,500,425,450,500,450,475,675,900,1025,799,920
7260,375,625,625,687,-4,857,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1923,-5,-5,-4,1538
7261,-4,-4,455,368,456,452,325,520,-5,455,-4,-4,-4,-4,-4,-4,-4,1875,1750,2350,1850,3076
7262,-4,-4,335,335,-4,400,-4,335,400,600,625,625,493,468,456,833,673,700,-5,-5,-5,-5
7263,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,570,520,581,348
7264,-4,-4,-4,523,402,560,560,425,397,621,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7265,290,-4,-4,335,-4,-4,-4,-4,-4,575,625,721,800,800,850,880,905,1100,1120,1150,523,900
7266,200,250,335,725,-4,-4,-4,-4,-4,550,600,600,634,698,765,581,1200,1550,1479,-5,-5,480
7267,525,562,865,600,800,775,1071,1000,-4,750,1375,1125,1362,1375,-4,1000,-4,1375,1375,1500,-4,325
7268,-4,-4,-4,-4,380,500,382,816,600,1100,1136,1149,1317,1317,1355,1300,1373,1700,1866,1653,1903,2019
7269,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,370,380,430,392,485,509,576,666,706,-5,-4
7270,-4,325,365,400,275,350,3496,1098,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7271,600,690,900,1000,1035,1127,1298,1388,1706,1778,1923,1995,2307,2115,2451,2375,2500,2812,3605,3162,3605,3891
7272,-4,-4,-4,540,-4,-4,-4,375,-5,335,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5
7273,-4,-4,-4,450,437,390,-5,365,-5,-5,-5,-5,450,500,812,700,945,925,1630,-5,-5,1200
7274,100,-4,200,316,345,300,232,375,769,468,301,625,500,1538,1576,2094,2564,2769,3076,4091,4230,5000
7275,-4,-4,360,247,335,360,333,-4,325,335,600,712,-4,500,500,786,700,960,1367,2020,1100,1500
7276,-4,-4,335,360,-4,-4,365,345,930,495,625,733,813,-4,-4,1375,825,1075,1000,-5,1695,1645
7277,-4,290,-4,375,274,335,400,450,348,650,700,600,-4,-4,-4,-4,625,800,1279,930,-4,-4
7278,-4,-4,-4,257,400,600,857,600,600,500,312,-4,833,-4,-4,-4,-4,-4,815,885,723,961
7279,443,468,542,575,587,562,660,721,700,753,823,823,828,853,1000,853,823,910,1040,1105,1150,1350
7280,-4,-4,-4,476,500,-4,415,550,645,600,638,700,700,700,750,750,885,989,1145,781,1000,1375
7281,-4,-4,-4,420,420,445,462,467,1093,550,530,576,650,700,576,650,750,850,900,1000,875,-5
7282,-4,-4,-4,-4,340,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,650,625,625,800,775
7283,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,625,725,775
7284,-4,-4,335,360,1667,335,175,500,575,700,-4,610,700,600,650,900,950,1298,-5,1000,989,1275
7285,-4,186,-4,335,-4,-4,-4,435,208,582,700,700,700,700,600,500,810,1231,1537,1712,2200,2284
7286,-4,-4,335,335,335,345,145,764,769,962,1105,1250,1370,1447,1586,1644,2163,2187,3028,3750,4043,4269
7287,-4,421,469,575,635,635,585,1035,1057,1153,1400,1384,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7288,312,332,-4,192,500,581,673,721,961,1057,1068,874,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7289,-4,-4,284,375,400,425,800,500,550,610,675,666,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7290,-4,-4,292,348,385,655,-4,345,400,625,166,450,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7291,-4,-4,-4,-4,250,465,465,335,555,363,377,410,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7292,-4,-4,769,875,962,1153,-5,-5,-5,-5,-5,-5,1388,1826,-4,-4,-4,-5,-5,-5,-5,-5
7293,-4,355,-4,461,1071,1062,755,920,11744,914,594,960,575,1015,807,-5,-5,-5,1520,150,11,12
7294,-4,310,-4,380,335,335,-4,521,525,500,418,-4,556,-4,-4,555,460,800,750,705,697,837
7295,-4,-4,353,400,-4,335,500,415,377,735,425,-4,500,750,697,797,913,800,1000,249,813,-5
7296,290,285,335,335,335,335,311,470,489,500,848,952,988,988,988,1057,1190,1325,1470,1550,1552,1976
7297,250,310,-4,360,405,350,480,837,1012,1425,1395,1452,1322,1923,2062,1750,1924,2027,2091,2249,1950,2015
7298,275,2500,480,531,596,500,705,-4,500,625,900,760,888,737,876,-5,4000,275,3461,1750,2571,-5
7299,-4,-4,-4,-4,-4,405,435,430,312,-4,525,-4,400,-5,-5,-5,-5,-5,-5,-5,-5,-5
7300,-4,-4,-4,80,750,200,500,375,356,335,345,380,611,425,500,652,700,700,714,750,800,900
7301,-4,-4,-4,335,375,335,237,625,770,625,875,625,575,554,700,1062,1000,850,900,775,900,1000
7302,305,380,-4,433,433,429,-4,-4,654,-4,-4,350,-5,425,425,435,500,600,600,-4,-4,1236
7303,-4,-4,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7304,-4,335,390,425,400,362,406,567,436,625,769,625,913,645,692,747,825,900,1000,850,900,950
7305,430,465,523,480,523,576,625,1000,625,649,756,756,913,769,728,1669,2103,-5,2836,3309,3619,4036
7306,325,-4,697,817,835,900,989,895,750,770,873,923,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7307,639,769,480,980,1100,1099,-5,-5,-5,1346,1282,1538,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7308,-4,-4,-4,350,500,-4,350,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7309,262,-4,-4,-4,362,600,650,800,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7310,200,330,-5,335,-4,350,450,430,383,335,450,260,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7311,-4,350,-4,600,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7312,233,342,400,350,400,500,542,714,348,520,575,368,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7313,290,375,354,355,479,400,700,385,337,570,630,630,-5,750,1000,1100,700,900,1410,1420,1495,1258
7314,-4,-4,-4,-4,335,335,335,335,500,-4,335,-4,431,500,578,500,485,600,-4,581,-4,-4
7315,-4,1571,-4,1165,500,1000,1612,1000,-4,1715,1820,-4,2000,1200,2071,2175,2314,1950,1250,1200,2300,-5
7316,273,-4,392,450,575,583,607,781,650,807,846,961,1153,1250,1201,-4,150,550,600,1050,1250,1442
7317,-4,347,300,483,521,532,542,576,523,606,631,688,688,789,752,850,1009,909,1013,1030,1538,1298
7318,-4,-4,-4,400,340,380,450,581,325,625,550,500,450,600,577,825,700,635,979,1495,1826,1777
7319,-4,-4,-4,-4,-4,550,565,400,400,-5,500,500,565,600,750,1007,961,1538,1000,-5,78,961
7320,-4,310,-4,-4,360,-4,754,395,431,610,600,906,1105,813,1201,1037,1394,1110,1227,1428,2115,1715
7321,-4,333,-4,1000,-4,-4,-4,-4,-4,-4,221,400,-4,-4,475,450,-4,-4,-4,-4,-4,-4
7322,-4,-4,-4,-4,-4,335,486,514,576,433,445,550,425,700,425,-4,720,835,1035,15000,1200,1394
7323,-4,-4,-4,-4,-4,-4,120,-4,360,-4,-4,-4,-4,-4,-4,-4,-4,-4,625,735,565,-4
7324,-4,-4,-4,375,-4,-4,335,460,425,450,450,450,-4,-4,-4,-4,-4,650,785,2713,750,-4
7325,-4,-4,-4,335,336,-4,400,536,663,500,692,528,700,600,-4,600,735,550,1025,465,-4,1000
7326,-4,-4,-4,385,385,365,400,575,350,525,-5,550,535,605,500,675,535,725,1025,1200,-4,1000
7327,304,-4,439,639,812,904,930,956,959,-5,-5,1250,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7328,260,100,320,360,375,400,460,460,500,550,750,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7329,-4,-4,300,380,438,400,486,500,600,600,500,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7330,-4,541,-4,523,668,-4,958,-4,-4,-4,908,880,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7331,468,550,750,700,766,825,691,700,825,950,950,1125,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7332,312,525,-4,575,-4,375,625,433,317,569,480,784,872,1105,1009,784,872,1298,-5,-5,2445,1826
7333,-4,-4,383,465,400,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7334,-4,347,-4,450,-4,937,872,1105,1153,1346,1442,1442,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7335,-4,-4,-4,-4,-4,-4,-4,697,-4,375,-4,825,450,625,801,750,872,-4,1000,-5,-5,-5
7336,-4,-4,-4,671,-4,840,525,629,575,500,432,583,720,-4,1485,-4,-4,9,8,-4,405,-4
7337,-4,-4,-4,-4,-4,335,335,89,500,850,865,1150,1057,1225,1330,1000,1298,1600,1733,2200,2307,2307
7338,265,310,388,436,504,526,642,673,942,872,755,755,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7339,-4,-4,604,737,846,500,700,735,925,816,960,1135,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7340,-4,-4,335,92,133,200,275,300,-4,-4,48,144,213,1072,1153,1386,1442,1461,1794,1969,23,23
7341,-4,-4,-4,335,335,345,335,365,316,552,425,639,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7342,-4,400,450,600,596,600,600,500,600,800,1000,900,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7343,295,320,388,604,741,854,875,896,1124,1201,1552,1785,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7344,300,315,340,335,750,1395,384,600,600,192,600,500,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7345,265,286,386,380,335,468,345,395,150,500,240,120,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7346,290,377,523,610,500,508,508,508,714,715,889,961,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7347,-4,432,568,475,350,360,335,936,1042,1900,-4,1025,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7348,-4,-4,121,250,200,333,370,382,335,512,857,571,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
